HR2	HR3	NHR2	NHR3
130.00	84.00	18.00	42.00
130.00	84.00	45.00	42.00
130.00	84.00	16.00	42.00
130.00	84.00	27.00	42.00
129.00	84.00	10.00	42.00
129.00	84.00	28.00	42.00
129.00	84.00	45.00	42.00
129.00	84.00	3.00	42.00
128.80	84.00	10.00	42.00
128.50	84.00	13.00	42.00
128.50	84.00	5.00	42.00
128.00	84.00	5.00	42.00
128.00	84.00	4.50	42.00
128.00	84.00	19.00	42.00
128.00	84.00	28.00	42.00
128.00	83.50	30.00	42.00
128.00	83.50	5.00	42.00
128.00	83.50	2.00	42.00
128.00	83.00	4.00	42.00
128.00	83.00	7.50	42.00
128.00	83.00	4.00	42.00
128.00	83.00	4.50	42.00
128.00	83.00	2.50	42.00
128.00	83.00	20.00	42.00
128.00	83.00	24.00	42.00
128.00	83.00	16.00	42.00
128.00	83.00	7.50	42.00
128.00	83.00	8.00	42.00
128.00	83.00	8.30	42.00
128.00	83.00	4.50	42.00
127.50	83.00	3.50	42.00
127.50	83.00	27.50	42.00
127.00	83.00	15.00	42.00
127.00	83.00	12.00	42.00
127.00	83.00	30.00	42.00
127.00	83.00	20.00	42.00
127.00	83.00	28.00	42.00
126.00	83.00	30.00	42.00
126.00	83.00	22.00	42.00
126.00	83.00	18.00	42.00
126.00	82.80	8.00	42.00
126.00	82.50	22.00	42.00
126.00	82.50	20.00	42.00
126.00	82.50	53.00	42.00
126.00	82.50	32.00	42.00
126.00	82.50	102.00	42.00
126.00	82.50	56.00	42.00
126.00	82.50	5.50	42.00
126.00	82.30	8.50	42.00
126.00	82.20	14.50	41.80
126.00	82.00	10.00	41.50
126.00	82.00	7.00	41.50
125.10	82.00	9.50	41.50
125.00	82.00	32.00	41.50
125.00	82.00	17.00	41.50
125.00	82.00	24.00	41.00
125.00	82.00	8.50	41.00
125.00	82.00	91.00	41.00
125.00	82.00	7.00	41.00
125.00	82.00	25.00	41.00
125.00	82.00	20.00	41.00
125.00	82.00	17.50	41.00
125.00	82.00	34.50	41.00
125.00	82.00	13.00	41.00
125.00	82.00	40.00	41.00
125.00	82.00	60.00	41.00
125.00	82.00	30.00	41.00
125.00	82.00	8.00	41.00
125.00	82.00	18.00	41.00
125.00	82.00	3.00	41.00
124.50	82.00	26.00	41.00
124.50	82.00	12.00	41.00
124.30	82.00	2.00	41.00
124.00	82.00	20.00	41.00
124.00	82.00	3.00	41.00
124.00	82.00	3.00	41.00
124.00	82.00	16.00	41.00
124.00	82.00	16.00	41.00
124.00	82.00	6.00	41.00
124.00	82.00	6.00	41.00
124.00	82.00	22.00	41.00
124.00	82.00	6.50	41.00
124.00	82.00	8.00	41.00
124.00	82.00	24.00	41.00
124.00	82.00	6.00	41.00
124.00	82.00	30.00	41.00
124.00	82.00	26.00	41.00
123.50	82.00	28.00	41.00
123.50	82.00	52.00	41.00
123.50	82.00	12.00	41.00
123.00	82.00	65.00	41.00
123.00	82.00	12.00	41.00
123.00	82.00	8.50	41.00
123.00	82.00	11.00	41.00
122.50	81.80	120.00	41.00
122.00	81.50	9.00	41.00
122.00	81.50	16.00	41.00
122.00	81.50	18.00	41.00
122.00	81.50	90.00	41.00
122.00	81.50	120.00	41.00
122.00	81.40	120.00	41.00
122.00	81.20	19.50	41.00
122.00	81.00	21.50	40.70
122.00	81.00	32.50	40.50
122.00	81.00	10.00	40.50
122.00	81.00	10.00	40.50
122.00	81.00	10.00	40.50
122.00	81.00	20.00	40.50
122.00	81.00	20.00	40.50
122.00	81.00	18.00	40.50
122.00	81.00	26.00	40.50
122.00	81.00	4.00	40.50
121.60	81.00	40.00	40.50
121.50	81.00	8.00	40.50
121.00	81.00	6.00	40.50
121.00	81.00	8.00	40.50
121.00	81.00	8.00	40.50
121.00	81.00	8.00	40.00
121.00	81.00	60.00	40.00
121.00	81.00	12.00	40.00
121.00	81.00	6.00	40.00
121.00	81.00	6.50	40.00
121.00	81.00	6.00	40.00
120.80	80.90	5.00	40.00
120.50	80.50	5.00	40.00
120.50	80.50	3.50	40.00
120.10	80.50	8.00	40.00
