PAC	Operation_Code	Count_of_Operations	Sum_of_Hours	percent_hours
09R801	41	1	6.00	0.00
18029C	84	2	6.00	0.00
18029D	83	3	6.00	0.00
18R834	95	1	6.00	0.00
21F800	14	3	6.00	0.00
21R834	01	1	6.00	0.00
21R834	41	1	6.00	0.00
42001F	01	1	6.00	0.00
42001G	01	1	6.00	0.00
42001H	01	1	6.00	0.00
46R800	17	3	6.00	0.00
48R800	13	1	6.00	0.00
48R831	92	4	6.00	0.00
52832P	92	2	6.00	0.00
56002Q	84	1	6.00	0.00
56R824	92	1	6.00	0.00
56R831	84	1	6.00	0.00
63R831	31	2	6.00	0.00
68R800	13	1	6.00	0.00
71003A	83	1	6.00	0.00
71003K	84	1	6.00	0.00
81010	18	1	6.00	0.00
81845T	11	1	6.00	0.00
82845A	17	2	6.00	0.00
82R820	31	1	6.00	0.00
82R834	13	12	6.00	0.00
86001	41	1	6.00	0.00
86004	13	1	6.00	0.00
86006A	84	2	6.00	0.00
86R801	31	1	6.00	0.00
88D184	31	12	6.00	0.00
88D203	31	12	6.00	0.00
88D253	31	12	6.00	0.00
88R845	53	2	6.00	0.00
96R876	13	3	6.00	0.00
99R800	17	2	6.00	0.00
71003C	12	3	6.10	0.00
04004U	14	4	6.50	0.00
07844	33	3	6.50	0.00
56D015	33	4	6.50	0.00
88D181	31	13	6.50	0.00
88D230	31	13	6.50	0.00
88D233	31	13	6.50	0.00
88D275	31	13	6.50	0.00
99R845	53	5	6.50	0.00
29R829	52	32	6.70	0.00
03R847	21	13	6.90	0.00
03803C	31	2	7.00	0.00
03R282	43	1	7.00	0.00
03R839	17	6	7.00	0.00
03R876	11	7	7.00	0.00
03S836	95	2	7.00	0.00
07F800	31	1	7.00	0.00
07F800	92	1	7.00	0.00
09842	13	7	7.00	0.00
09844E	14	5	7.00	0.00
21006	92	5	7.00	0.00
41R800	14	2	7.00	0.00
61D800	92	3	7.00	0.00
71G011	13	2	7.00	0.00
71R858	31	2	7.00	0.00
81010	13	1	7.00	0.00
88D171	31	14	7.00	0.00
88D185	31	14	7.00	0.00
88D191	31	14	7.00	0.00
88D202	31	14	7.00	0.00
88D211	31	14	7.00	0.00
88D221	31	14	7.00	0.00
88D232	31	14	7.00	0.00
88D258	31	14	7.00	0.00
88D260	31	14	7.00	0.00
88D270	31	14	7.00	0.00
88R451	86	1	7.00	0.00
03003	53	3	7.50	0.00
03F836	84	4	7.50	0.00
18029E	41	1	7.50	0.00
58R800	13	1	7.50	0.00
63001A	53	8	7.50	0.00
68R800	33	3	7.50	0.00
81010	17	2	7.50	0.00
82009	84	4	7.50	0.00
88D155	31	15	7.50	0.00
88D163	31	15	7.50	0.00
88D164	31	15	7.50	0.00
88D170	31	15	7.50	0.00
88D176	31	15	7.50	0.00
88D177	31	15	7.50	0.00
88D178	31	15	7.50	0.00
88D238	31	15	7.50	0.00
88D239	31	15	7.50	0.00
88D262	31	15	7.50	0.00
03803	14	1	8.00	0.00
03819B	13	1	8.00	0.00
03819B	31	1	8.00	0.00
03819C	95	1	8.00	0.00
03842B	12	1	8.00	0.00
03842C	12	1	8.00	0.00
03842D	12	1	8.00	0.00
03844D	95	1	8.00	0.00
03847	83	3	8.00	0.00
03R257	95	1	8.00	0.00
03R816	31	2	8.00	0.00
03R831	31	3	8.00	0.00
03R858	83	1	8.00	0.00
03S001	96	1	8.00	0.00
04019A	01	1	8.00	0.00
04019X	41	8	8.00	0.00
04R801	12	1	8.00	0.00
04R824	84	9	8.00	0.00
07844	31	1	8.00	0.00
07844	86	1	8.00	0.00
07R280	31	3	8.00	0.00
07R803	01	1	8.00	0.00
09803	84	1	8.00	0.00
09842	92	1	8.00	0.00
09842F	12	1	8.00	0.00
09844F	84	1	8.00	0.00
09R801	13	1	8.00	0.00
18029E	83	2	8.00	0.00
18R874	84	6	8.00	0.00
21003	83	1	8.00	0.00
21008	15	1	8.00	0.00
21R816	84	1	8.00	0.00
42002G	84	1	8.00	0.00
42811	84	1	8.00	0.00
42845B	13	1	8.00	0.00
42B800	31	1	8.00	0.00
42R800	95	1	8.00	0.00
42R875	84	1	8.00	0.00
46R800	13	1	8.00	0.00
48R825	12	1	8.00	0.00
56R359	84	1	8.00	0.00
56R814	18	1	8.00	0.00
56R876	01	1	8.00	0.00
63001A	83	1	8.00	0.00
71R833	86	1	8.00	0.00
71R854	31	2	8.00	0.00
81R803	92	1	8.00	0.00
82009	12	1	8.00	0.00
82009	13	1	8.00	0.00
82845A	18	1	8.00	0.00
82845A	83	2	8.00	0.00
82R824	13	1	8.00	0.00
82R833	86	1	8.00	0.00
82Z002	92	4	8.00	0.00
86R833	83	1	8.00	0.00
88D218	31	16	8.00	0.00
88D243	31	16	8.00	0.00
88R451	92	2	8.00	0.00
88R833	86	1	8.00	0.00
96R800	96	1	8.00	0.00
98T800	83	1	8.00	0.00
07842	31	2	8.10	0.00
84R800	33	4	8.20	0.00
71003B	21	7	8.30	0.00
03F860	53	16	8.50	0.00
04847	13	1	8.50	0.00
04847H	84	1	8.50	0.00
04R816	84	3	8.50	0.00
56R801	86	4	8.50	0.00
71003C	21	20	8.50	0.00
71R811	53	11	8.50	0.00
82A800	17	2	8.50	0.00
88D173	31	17	8.50	0.00
88D182	31	17	8.50	0.00
88D186	31	17	8.50	0.00
88D194	31	17	8.50	0.00
