PAC,PAF,OPCODE,ACCORG,ACC2011,PLAN2011,ACC2012,PLAN2012,ACC2013,PLAN2013,ACC2014,PLAN2014,ACC2015,PLAN2015
03R320,,92,DEN-DO,,,,,,,,,11.5,832
03R320,,92,NRL,,,,,,,2265.8,3301,1819.2,3301
03R320,,92,PRL-NW,,,,,,,11,590,995.1,590
03R320,,92,PRL-SW,,,,,,,514.7,2773,1056.1,2773
03R320,,92,SAN-DO,,,,,,,38,1081,30,1081
03R320,,92,SRL,,,,,,,123.8,1445,1597,1445
03R320,,92,WEAC,,,,,,,,,155,408
03R816,,1,ARL,465,300,,,,,,,,
03R816,,1,NRL,720,604,,,,,,,,
03R816,,1,PRL-NW,3304,5324,,,,,,,,
03R816,,1,PRL-SW,2798.4,604,,,,,,,,
03R816,,1,SAN-DO,380,300,,,,,,,,
03R816,,1,SRL,615,300,,,,,,,,
03R816,,1,WEAC,2228.5,604,,,,,,,,
03R839,MIC,41,SRL,70.5,3907,,,,,,,,
03R839,,13,ATL-DO,,,,,15,1888,,,,
03R839,,13,CHI-DO,10,2689,,,,,,,,
03R839,,13,DET-DO,7.7,2689,,,,,,,,
03R839,,13,FLA-DO,,,20,3776,28,5002,,,,
03R839,,13,KAN-DO,,,,,12,2759,,,,
03R839,,14,FLA-DO,,,1,461,,,,,,
03R839,,14,LOS-DO,,,35,780,,,,,,
03R839,,14,SWI-DO,,,2,3162,,,,,,
03R843,,92,ATL-DO,28,684,,,,,,,,
03R843,,92,MIN-DO,58,719,,,,,,,,
03R843,,92,NWE-DO,18,797,,,,,,,,
03R843,,92,NWJ-DO,32,1380,,,,,,,,
03R843,,92,SAN-DO,24,428,,,,,,,,
03R843,,92,SEA-DO,388,953,,,,,,,,
03R845,MIC,43,PRL-NW,7.5,143,,,,,,,,
03R845,NAR,41,FCC,145.1,55,,,,,,,,
03R845,,13,BLT-DO,17,105,,,,,,,,
03R845,,13,DET-DO,5.5,134,,,,,,,,
03R845,,13,FLA-DO,656,100,,,,,,,,
03R845,,13,LOS-DO,17,232,,,,,,,,
03R845,,13,MIN-DO,204,165,,,,,,,,
03R845,,13,NWJ-DO,73.5,99,,,,,,,,
03R845,,13,NYK-DO,72,129,,,,,,,,
03R845,,14,LOS-DO,500.5,267,,,,,,,,
03R845,,14,NYK-DO,12,772,,,,,,,,
03R845,,14,SWI-DO,4,735,,,,,,,,
03R876,,13,BLT-DO,,,,,,,,,117.5,78
03R876,,13,DEN-DO,,,,,,,,,10.4,59
03R876,,13,FLA-DO,,,,,,,,,176.5,91
03R876,,13,KAN-DO,,,,,,,,,6.5,90
03R876,,13,LOS-DO,,,,,,,,,2,129
03R876,,13,NWE-DO,,,,,,,,,4197.7,110
03R876,,13,NWJ-DO,,,,,,,,,158,80
03R876,,13,PHI-DO,,,,,,,,,0.5,78
03R876,,13,SEA-DO,,,,,,,,,2.8,186
04004A,NAR,41,ARL,39.3,1690,,,,,,,,
