PlanFY,OpDateFY,Plan_PAC,Plan_Hours,Sum_of_Hours,Acc_Org
2011,2011,03847H,321.00,405.00,MIN-DO
2011,2011,03847H,413.00,565.00,SAN-DO
2011,2011,03847H,414.00,31.00,SRL
2011,2011,03847H,417.00,195.00,DAL-DO
2011,2011,03847H,487.00,327.50,LOS-DO
2011,2011,03847H,778.00,164.00,SEA-DO
2011,2011,03F098,9.00,12.00,BLT-DO
2011,2011,03F098,18.00,20.00,PHI-DO
2011,2011,03F098,24.00,12.00,NWE-DO
2011,2011,03F098,75.00,151.00,LOS-DO
2011,2011,03F098,111.00,30.30,SEA-DO
2011,2011,03F098,207.00,76.90,DET-DO
2011,2011,03F098,333.00,496.90,FLA-DO
2011,2011,03F098,345.00,266.90,NYK-DO
2011,2011,03F098,625.00,284.40,PRL-NW
2011,2011,03F098,960.00,3902.80,PRL-SW
2011,2011,03F098,1830.00,1860.70,SWI-DO
2011,2011,03F098,4325.00,1995.40,SRL
2011,2011,03F098,4945.00,1811.50,NRL
2011,2011,03F098,5875.00,278.90,ARL
2011,2011,03F098,7250.00,39.00,SRL
2011,2011,03F830,640.00,26.00,CHI-DO
2011,2011,03F830,800.00,8.00,NYK-DO
2011,2011,03F830,1480.00,52.00,DAL-DO
2011,2011,03F830,1520.00,31.00,LOS-DO
2011,2011,03F830,1536.00,45.00,PRL-SW
2011,2011,03F830,1600.00,40.00,CHI-DO
2011,2011,03F830,1600.00,40.00,NOL-DO
2011,2011,03F830,2720.00,26.00,ATL-DO
2011,2011,03F830,2920.00,0.70,CIN-DO
2011,2011,03F830,3000.00,32.00,NWE-DO
2011,2011,03F830,4600.00,6.00,SEA-DO
2011,2011,03F830,5135.00,30.00,ARL
2011,2011,03F830,12193.00,88.50,SRL
2011,2011,03R233,40.00,3.00,MIN-DO
2011,2011,03R233,40.00,34.00,NWJ-DO
2011,2011,03R233,40.00,5.00,SAN-DO
2011,2011,03R233,60.00,52.00,SEA-DO
2011,2011,03R233,153.00,4.00,ORAHQ
2011,2011,03R816,300.00,465.00,ARL
2011,2011,03R816,300.00,380.00,SAN-DO
2011,2011,03R816,300.00,615.00,SRL
2011,2011,03R816,604.00,720.00,NRL
2011,2011,03R816,604.00,2798.40,PRL-SW
2011,2011,03R816,604.00,2228.50,WEAC
2011,2011,03R816,5324.00,3304.00,PRL-NW
2011,2011,03R839,2689.00,10.00,CHI-DO
2011,2011,03R839,2689.00,7.70,DET-DO
2011,2011,03R839,3907.00,70.50,SRL
2011,2011,03R843,428.00,24.00,SAN-DO
2011,2011,03R843,684.00,28.00,ATL-DO
2011,2011,03R843,719.00,58.00,MIN-DO
2011,2011,03R843,797.00,18.00,NWE-DO
2011,2011,03R843,953.00,388.00,SEA-DO
2011,2011,03R843,1380.00,32.00,NWJ-DO
2011,2011,03R845,55.00,145.10,FCC
2011,2011,03R845,99.00,73.50,NWJ-DO
2011,2011,03R845,100.00,656.00,FLA-DO
2011,2011,03R845,105.00,17.00,BLT-DO
2011,2011,03R845,129.00,72.00,NYK-DO
2011,2011,03R845,134.00,5.50,DET-DO
2011,2011,03R845,143.00,7.50,PRL-NW
2011,2011,03R845,165.00,204.00,MIN-DO
2011,2011,03R845,232.00,17.00,LOS-DO
2011,2011,03R845,267.00,500.50,LOS-DO
2011,2011,03R845,735.00,4.00,SWI-DO
2011,2011,03R845,772.00,12.00,NYK-DO
2011,2011,04004A,8.00,8.50,ATL-DO
2011,2011,04004A,10.00,1.00,NWE-DO
2011,2011,04004A,15.00,40.00,SJN-DO
2011,2011,04004A,18.00,50.00,BLT-DO
2011,2011,04004A,18.00,69.50,MIN-DO
2011,2011,04004A,22.00,44.20,SJN-DO
2011,2011,04004A,29.00,15.00,DAL-DO
2011,2011,04004A,30.00,89.50,CHI-DO
2011,2011,04004A,42.00,69.10,BLT-DO
2011,2011,04004A,48.00,103.50,NOL-DO
2011,2011,04004A,60.00,130.00,PHI-DO
2011,2011,04004A,66.00,308.70,SAN-DO
2011,2011,04004A,74.00,11.00,FLA-DO
2011,2011,04004A,90.00,175.00,CIN-DO
2011,2011,04004A,90.00,57.50,DEN-DO
2011,2011,04004A,90.00,211.50,NWE-DO
2011,2011,04004A,104.00,244.50,PHI-DO
2011,2011,04004A,120.00,699.50,BLT-DO
2011,2011,04004A,120.00,207.00,CHI-DO
2011,2011,04004A,120.00,1.00,NOL-DO
2011,2011,04004A,125.00,404.40,NWE-DO
2011,2011,04004A,135.00,50.00,ATL-DO
2011,2011,04004A,135.00,42.50,SAN-DO
2011,2011,04004A,180.00,257.50,DAL-DO
2011,2011,04004A,180.00,400.00,DET-DO
2011,2011,04004A,192.00,1313.70,LOS-DO
2011,2011,04004A,205.00,637.80,SEA-DO
2011,2011,04004A,240.00,397.50,NYK-DO
2011,2011,04004A,370.00,576.80,FLA-DO
2011,2011,04004A,390.00,681.30,FLA-DO
2011,2011,04004A,390.00,306.50,KAN-DO
2011,2011,04004A,390.00,54.00,LOS-DO
2011,2011,04004A,410.00,476.30,DET-DO
2011,2011,04004A,480.00,452.20,MIN-DO
2011,2011,04004A,512.00,1250.50,NYK-DO
2011,2011,04004A,630.00,589.10,SAN-DO
2011,2011,04004A,715.00,647.00,NRL
2011,2011,04004A,720.00,462.80,SEA-DO
2011,2011,04004A,998.00,2901.30,PRL-NW
2011,2011,04004A,1560.00,443.60,PRL-NW
2011,2011,04004A,1690.00,1597.30,ARL
